dataSet,num_nodes,num_edges,spmm_tcu_sgt
twotone,120751,1224224,0.2175
k1_san,67760,303364,0.0587
TSOPF_RS_b39_c30,60099,1079986,0.0993
EternityII_Etilde,204305,1170516,6.4295
cit-HepTh,27771,352807,0.1813
lp_pds_10,49933,107605,0.0406
pkustk03,63337,1596876,0.1591
crystk02,13966,491274,0.0484
barrier2-2,113077,3805068,7.3438
Linux_call_graph,324086,1208908,0.3426
af_2_k101,503626,9027150,0.6246
ckt11752_dc_1,49703,333029,0.971
ky2010,161673,393889,0.135
baxter,30734,111576,12.5246
af_shell3,504856,9046865,0.6321
Zd_Jac3,22836,1916152,1.4591
boyd2,466317,890091,68.5098
hi2010,25017,62063,0.025
TSOPF_FS_b300_c3,84415,6578753,0.6131
Baumann,112212,760631,0.1492
AS365,3799276,11368076,3.3971
ASIC_320k,321822,2635364,8373.2051
G_n_pin_pout,100001,501198,0.1342
delaunay_n18,262145,786396,0.196
af_shell6,504856,9046865,0.6324
mi2010,329886,789045,0.2621
fe_body,45088,163734,0.0344
g7jac120sc,35551,475296,0.1004
tomographic1,73160,647495,0.1641
192bit,13692,154303,0.0351
Stanford_Berkeley,683447,7583376,1419.865
CurlCurl_3,1219575,7382096,1.1215
Geo_1438,1437961,32297325,2.8832
mark3jac140,64090,399735,0.0842
shallow_water2,81921,204800,0.0632
coPapersDBLP,540487,15245729,1.413
amazon0302,262112,1234877,0.2896
Chevron1,37366,330633,0.0388
memchip,2707525,14810202,2.7582
web-Google,916429,5105039,1.3612
shuttle_eddy,10430,57014,0.0152
flower_7_4,67594,202218,0.0483
kim2,456977,11330020,0.987
ct20stif,52330,1375396,0.1952
pkustk13,94894,3355860,0.4511
cage15,5154860,99199551,21.1784
torso1,116159,8516500,26.431
hvdc2,189861,1347273,0.1924
TSOPF_FS_b39_c19,76217,998359,0.092
fome12,48921,142528,0.0634
finance256,37377,167936,0.0376
ASIC_320ks,321672,1827807,0.7766
Delor338K,887059,4211599,0.3839
deltaX,68601,247424,0.1023
wang3,26065,177168,0.0357
e18,38603,156466,0.0268
packing-500x100x100-b050,2145853,17488243,2.7116
usroads-48,126147,161950,0.0865
bcsstk35,30238,740200,0.0802
n4c6-b6,104116,728805,0.1453
para-7,155925,5416358,7.7886
rim,22561,1014951,0.1009
hangGlider_4,15562,79088,3.8747
af_shell2,504856,9046865,0.632
para-9,155925,5416358,7.7982
jan99jac080,27535,171522,0.0349
nug08-3rd,29857,148416,0.0352
adaptive,6815745,13624320,4.6897
jan99jac060,20615,127182,0.0284
nm2010,168610,415485,0.1481
email-EuAll,265215,420045,0.3855
stomach,213361,3021648,0.4705
rel8,345689,821839,0.173
Long_Coup_dt0,1470153,44279572,3.732
shock-9,36477,71290,0.023
neos2,134129,685087,0.1285
af_shell1,504856,9046865,0.6321
ted_B_unscaled,10606,77592,0.0146
FEM_3D_thermal1,17881,430740,0.0542
crankseg_2,63839,7106348,0.8918
pkustk06,43165,1307466,0.1545
ted_AB,10606,522387,0.0834
lowThrust_5,16263,103701,0.0225
TSOPF_FS_b300_c2,56815,4391071,0.4298
neos1,133474,599590,0.136
raefsky4,19780,674195,0.0718
pattern1,19243,4671337,10.0357
Pres_Poisson,14823,365313,0.0436
rajat21,411677,1893370,2876.5725
ny2010,350170,854772,0.2798
tube1,21499,459277,0.0351
fxm3_16,85576,392252,0.0742
ts-palko,47236,1076903,853.8611
crystk03,24697,887937,0.0775
kkt_power,2063495,8130343,2.1625
inline_1,503713,18660027,3.0829
Franz11,47105,329728,0.0714
scircuit,170999,958936,0.2641
route,43020,206782,27.0954
watson_2,677225,1846391,0.5863
ch8-8-b5,564481,3386880,0.6974
H2O,67025,1141880,0.2059
ca-CondMat,23134,93497,0.0622
TSOPF_FS_b9_c6,14455,75801,0.0123
mac_econ_fwd500,206501,1273389,0.2549
OPF_3754,15436,86854,0.0293
Bump_2911,2911420,65320659,5.4231
Chevron4,711451,6376412,0.7136
appu,14001,1853104,0.9865
mc2depi,525826,2100225,0.4886
ted_AB_unscaled,10606,522387,0.0854
al2010,252267,615241,0.2106
rma10,46836,2374001,0.2215
pds10,16559,83108,0.0325
conf5_4-8x8-15,49153,1916928,0.2168
conf5_4-8x8-10,49153,1916928,0.2172
rajat20,86917,605045,57.2975
fe_rotor,99618,662431,0.1248
obstclae,40001,118804,0.0298
scfxm1-2r,65944,221388,0.0507
mt2010,132289,319334,0.1118
stat96v3,1113781,3317736,2.0685
wikipedia-20051105,1634990,19753078,7.2002
nc2010,288988,708310,0.2364
trans5,116836,766396,3760.9023
vsp_sctap1-2b_and_seymourl,40175,140831,0.221
watson_1,386993,1055093,0.2742
vfem,93477,1434636,0.1753
bmw7st_1,141348,3740507,0.4737
ch7-8-b3,58801,235200,0.0513
TSOPF_RS_b300_c3,42139,4413449,0.4631
language,399131,1216334,10.5865
t3dl_a,20361,265113,0.0425
wheel_601,902104,2170814,0.9665
rgg_n_2_22_s0,4194305,30359198,6.7738
Cube_Coup_dt6,2164761,64685452,5.138
thermomech_dK,204317,2846228,0.4219
Zhao2,33862,166453,0.0399
cvxqp3,17501,69981,0.0205
Reuters911,13333,148038,0.637
stat96v2,957433,2852184,1.6677
IG5-17,30163,1035008,0.2793
dbic1,226318,1081843,1.7208
nmos3,18589,386594,0.0744
pct20stif,52330,1375396,0.1952
web-NotreDame,325730,1497134,1.9814
bcsstk36,23053,583096,0.0587
n4c6-b7,163216,1305720,0.2518
NLR,4163764,12487976,3.7199
mark3jac080,36610,227955,0.0464
tandem_dual,94070,277281,0.0791
gsm_106857,589447,11174185,2.4896
k3plates,11108,378927,0.0398
ak2010,45293,108549,0.0802
c-51,23197,113123,0.3603
ch8-8-b3,117601,470400,0.1073
af_4_k101,503626,9027150,0.6258
mixtank_new,29958,1995041,0.4096
delaunay_n21,2097153,6291408,1.5182
bcsstk39,46773,1068033,0.0962
sinc18,16429,973826,0.2963
ford1,18729,60152,0.02
bcsstk18,11949,80519,0.0209
gyro,17362,519260,0.0558
boneS01,127225,3421188,0.2783
c-64,51036,384438,0.08
TSOPF_RS_b300_c1,14539,1474325,0.1907
sinc15,11533,568526,0.1719
stokes64,12547,74242,0.0148
rail_79841,79842,316881,0.0732
bodyy5,18590,73935,0.017
az2010,241667,598047,0.2
598a,110972,741934,0.1823
wiki-Talk,2394386,5021410,2050.5061
il2010,451555,1082232,0.3593
torso3,259157,4429042,0.6552
kron_g500-logn18,262145,10583222,73.7404
audikw_1,943696,39297771,3.5329
t2dah,11446,93781,0.0131
majorbasis,160001,1750416,0.2346
NotreDame_www,325730,929849,0.1954
wing_nodal,10938,75488,0.026
lhr11c,10965,233741,0.0306
nd12k,36001,7128473,1.195
ins2,309413,1530448,23677.2051
pkustk14,151927,7494215,0.8517
Maragal_6,21256,537694,17.549
d_pretok,182731,885416,0.1698
shyy161,76481,329762,0.0744
t2dah_a,11446,93781,0.013
airfoil_2d,14215,259688,0.0595
para-5,155925,5416358,7.8234
water_tank,60741,2035281,0.2463
bcsstk32,44610,1029655,0.113
ex35,19717,228208,0.0361
Zd_Jac3_db,22836,713907,0.2036
rajat17,94295,641159,56.2115
Si87H76,240370,5451000,0.8761
HTC_336_9129,226341,554881,0.1936
conf6_0-8x8-80,49153,1916928,0.217
ncvxqp3,75001,274982,0.0754
mouse_gene,45102,14506196,20.5569
thermomech_TC,102159,406858,0.1162
vibrobox,12329,177578,0.0625
Chevron3,381382,3413113,0.3868
minsurfo,40807,122214,0.0309
mk12-b4,62371,311850,0.0718
lowThrust_6,16929,108376,0.0237
relat9,12360061,38955420,8.5365
preferentialAttachment,100001,499985,0.1227
md2010,145248,350189,0.1216
RM07R,381690,37464962,4.1138
barrier2-12,115626,3897557,10.3309
matrix-new_3,125330,2678750,50.9769
TF17,48631,586218,0.1442
helm2d03,392258,1567096,0.3378
jan99jac120sc,41375,260202,0.048
nsct,37564,697738,0.5795
lp1,534389,1088904,0.3705
barrier2-10,115626,3897557,10.3268
bcsstk17,10975,219812,0.0316
coAuthorsCiteseer,227321,814134,0.1682
channel-500x100x100-b050,4802001,42681372,6.3889
g7jac050sc,14761,157990,0.0522
venkat50,62425,1717792,0.1743
GL7d24,105055,593892,0.8672
ted_B,10606,77592,0.0146
Raj1,263744,1302464,110.9198
af_shell7,504856,9046865,0.6313
dblp-2010,326187,807700,0.2216
jan99jac100sc,34455,215862,0.0415
cca,49153,69632,0.0284
FullChip,2987013,26621990,1000000000
2D_27628_bjtcai,27629,442898,0.0605
tmt_unsym,917826,4584801,0.8895
rajat09,24483,64982,0.0195
gupta3,16784,4670105,323.6178
rajat24,358173,1948235,2265.0415
m133-b3,200201,800800,0.2026
mod2,66410,199810,0.5974
TSOPF_FS_b162_c1,10799,305732,0.0415
t2em,921633,4590832,0.8779
g7jac160sc,47431,656616,0.1334
atmosmodl,1489753,10319760,1000000000
ar2010,186212,452155,0.1538
lp_nug20,72601,304800,0.0789
para-10,155925,5416358,7.7853
thermomech_TK,102159,406858,0.116
pre2,659034,5959282,1.0742
mark3jac140sc,64090,399735,0.0841
delaunay_n16,65537,196575,0.0494
CurlCurl_2,806530,4864159,0.7434
c-45,13207,93829,0.0153
offshore,259790,2251231,0.4545
mario002,389875,1167685,0.3258
mark3jac040sc,18290,113435,0.0273
2D_54019_highK,54020,996414,0.6298
mri2,147457,569160,0.0726
rajat23,110356,556938,1.3373
hvdc1,24843,159981,0.064
pkustk10,80677,2194830,0.2215
cop20k_A,121193,1362087,0.1757
c-53,30236,201224,0.0707
shipsec1,140875,3977139,0.3553
mark3jac080sc,36610,227955,0.0463
amazon0601,403395,3387388,0.641
vsp_vibrobox_scagr7-2c_rlfddd,77329,435586,0.0748
mark3jac120,54930,342475,0.0701
troll,213454,6099282,0.4779
srb1,54925,1508538,0.2809
transient,178867,961790,954.1078
cz40948,40949,412148,0.0657
lp_nug30,379351,1567800,0.4313
ne2010,193353,456927,0.1566
stokes128,49667,295938,0.0452
bcsstk25,15440,133840,0.0212
rajat18,94295,485143,56.0366
c-66,49990,274498,0.9265
roadNet-PA,1090921,1541898,1000000000
ASIC_100ks,99191,578890,0.2831
sme3Da,12505,874887,0.5469
jan99jac060sc,20615,127182,0.0282
net150,43521,1582360,0.4052
conf6_0-8x8-20,49153,1916928,0.2165
NotreDame_actors,392401,1470404,0.4715
a0nsdsil,80017,200021,7.7462
TSOPF_RS_b678_c1,18697,4396289,1.1097
cit-Patents,3774769,16518948,1000000000
crystm03,24697,304233,0.05
id2010,149843,364132,0.1311
fem_hifreq_circuit,491101,20239237,1000000000
af_shell4,504856,9046865,0.6331
stormg2-125,172432,433256,0.1062
t3dl,20361,265113,0.0426
EAT_RS,23220,325592,0.2743
or2010,196622,489756,0.1652
wang4,26069,177196,0.0357
Freescale1,3428756,18920347,1000000000
karted,133116,1770349,6731.7998
chipcool0,20083,281150,0.0677
GL7d23,349444,2695430,1.1888
msdoor,415864,10328399,1000000000
vsp_barth5_1Ksep_50in_5Kout,32213,101805,0.0315
delaunay_n17,131073,393176,0.1
c-46,14914,72655,0.0281
smallworld,100001,499998,0.0899
waveguide3D,21037,303468,0.0728
TF18,123868,1597545,0.3712
bcsstk31,35589,608502,0.0624
c-54,31794,211743,0.4164
lp_pds_20,108176,232647,0.0718
Si5H12,19897,379247,0.1249
lowThrust_10,18261,116074,0.0248
CoupCons3D,416801,22322336,1000000000
shipsec5,179861,5146478,0.4348
pli,22696,686502,0.0803
roadNet-CA,1971282,2766607,1000000000
cage12,130229,2032536,0.4216
co9,22925,109651,0.6045
t60k,60006,89440,0.0381
viscoplastic2,32770,381326,0.0934
msc23052,23053,588933,0.1047
g7jac080,23671,293976,0.0709
FEM_3D_thermal2,147901,3489300,0.3622
bayer04,20546,159082,0.0256
li,22696,1350309,0.1759
crplat2,18011,489478,0.0418
halfb,224618,6306219,0.4488
c-66b,49990,274498,0.9323
af_shell8,504856,9046865,0.6333
qa8fm,66128,863353,0.1059
pcrystk02,13966,491274,0.0478
af_1_k101,503626,9027150,0.6269
pds-90,475449,1014136,0.2515
208bit,24431,299756,0.0608
in2010,267072,640858,0.216
oilpan,73753,1835470,0.1317
jnlbrng1,40001,119600,0.0301
g7jac100sc,29611,384636,0.0868
sd2010,88361,205361,0.0745
ABACUS_shell_ld,23413,218484,0.0449
TSOPF_RS_b300_c2,28339,2943887,0.3288
pds-30,158490,340635,0.0945
lhr10,10673,232633,0.0308
co2010,201063,487287,0.1666
c-56,35911,208405,0.3387
atmosmodj,1270433,8814880,1000000000
lhr34,35153,764014,0.0789
delaunay_n22,4194305,12582869,1000000000
poisson3Da,13515,352762,0.1065
g7jac200,59311,837936,0.1653
delaunay_n20,1048577,3145686,1000000000
mult_dcop_03,25188,193216,35.3018
stokes64s,12547,74242,0.0148
pds-80,434581,927826,0.2309
cond-mat-2005,40422,175693,0.0374
wikipedia-20061104,3148441,39383235,1000000000
c-57,37834,221515,0.043
GL7d20,1911131,29893084,1000000000
brainpc2,27608,96601,0.0188
sctap1-2r,63427,186366,0.0458
g7jac040,11791,114671,0.0396
pds-50,275815,590833,0.1502
g7jac140sc,41491,565956,0.1184
chipcool1,20083,281150,0.0674
wv2010,135219,331461,0.1188
x104,108385,5138004,0.4371
jan99jac080sc,27535,171522,0.0349
pwt,36520,181313,0.0323
de2010,24116,58028,0.0222
copter2,55477,407714,0.0732
netherlands_osm,2216689,2441238,1000000000
CurlCurl_0,11084,62213,0.0127
kim1,38416,933195,0.0892
rlfprim,62717,320591,0.0643
CurlCurl_4,2380516,14448191,1000000000
finan512,74753,335872,0.0817
TSOPF_RS_b2383_c1,38121,16171169,1000000000
case39,40217,526139,0.0488
usroads,129165,165435,0.0881
bodyy6,19367,77057,0.0174
3dtube,45331,1629474,1.5679
italy_osm,6686494,7013978,1000000000
fcondp2,201823,5748069,0.412
consph,83335,3046907,0.2576
soc-Slashdot0902,82169,948464,1.3266
GaAsH6,61350,1721579,0.907
nd2010,133770,312973,0.1102
pds-40,217532,466800,0.1227
n4c6-b12,69236,332865,0.0738
ASIC_100k,99341,954163,3759.853
m14b,214766,1679018,0.34
GL7d16,955129,14488881,1000000000
BenElechi1,245875,6698185,0.433
mo2010,343566,828284,0.278
sls,1748123,6804304,1000000000
relat8,345689,1334038,0.2438
wikipedia-20060925,2983495,37269096,1000000000
c-68,64811,315408,0.9005
GL7d22,822923,8251000,2.7984
lowThrust_9,18045,114806,0.0246
G2_circuit,150103,438388,0.1223
OPF_6000,29903,166160,0.0494
CO,221120,3943588,0.689
2cubes_sphere,101493,874378,0.1736
TF19,317956,4370721,0.9812
net100,29921,1031560,0.2987
rgg_n_2_18_s0,262145,1547283,0.3634
TSOPF_RS_b678_c2,35697,8781949,1.902
amazon0505,410237,3356824,0.6398
cage11,39083,559722,0.1247
lp_ken_18,154700,358171,1.008
rgg_n_2_17_s0,131073,728753,0.1765
12month1,872623,22624727,1000000000
c-62ghs,41732,300537,2.2852
Zd_Jac2_db,22836,676439,0.2056
cz20468,20469,206076,0.0363
pkustk09,33961,808800,0.0881
Delor295K,1823929,2401323,1000000000
ms2010,171779,419990,0.143
g7jac040sc,11791,114671,0.0395
pds-100,514578,1096002,0.2721
c-49,21133,89087,0.3463
ex19,12006,259879,0.0419
vsp_model1_crew1_cr42_south31,45102,189976,0.0477
Trefethen_20000,20001,287233,0.0564
lhr71c,70305,1528092,0.1568
ch7-9-b3,105841,423360,0.0965
thermal1,82655,328556,0.0789
ccc,49153,73728,0.027
c-62,41732,300537,2.2824
vsp_bcsstk30_500sep_10in_1Kout,58349,2016578,0.6842
pkustk11,87805,2652858,0.2799
ch7-8-b4,141121,705600,0.1542
IMDB,896309,3782463,1.1297
in-2004,1382909,16917053,1000000000
lhr14c,14271,307858,0.0375
rgg_n_2_21_s0,2097153,14487995,1000000000
lhr11,10965,233741,0.0308
case9,14455,75801,0.0124
TSOPF_RS_b162_c3,15375,610299,0.0587
Zd_Jac2,22836,1642833,1.0594
degme,659416,8127528,1000000000
c-73,169423,724348,0.1567
ABACUS_shell_ud,23413,218484,0.0454
Ga10As10H30,113082,3114357,0.5849
cant,62452,2034917,0.1792
memplus,17759,126150,0.2158
scfxm1-2b,33048,111052,0.0286
gearbox,153747,4617075,0.4017
brack2,62632,366559,0.0772
cage10,11398,150645,0.0429
Serena,1391350,32961525,1000000000
rajat26,51033,249302,2.715
stormG2_1000,1377307,3459881,1000000000
3D_51448_3D,51449,1056610,6.6383
IG5-15,11988,323509,0.135
TF16,19322,216173,0.0684
cont-300,180896,539396,0.1387
ship_003,121729,4103881,0.3427
nasasrb,54871,1366097,0.1292
a5esindl,60009,145004,2.2349
kron_g500-logn20,1048577,44620272,1000000000
std1_Jac2,21983,1248731,0.8545
mult_dcop_02,25188,193276,35.3457
tn2010,240117,596983,0.1982
vsp_bump2_e18_aa01_model1_crew1,56439,300801,0.0611
trans4,116836,766396,3757.3457
ted_A,10606,424587,0.0582
ABACUS_shell_md,23413,218484,0.0449
invextr1_new,30413,1793881,0.354
ramage02,16831,1441591,0.1841
bcsstm36,23053,166389,0.028
circuit5M_dc,3523318,19194193,1000000000
Zhao1,33862,166453,0.0397
as-caida,31380,106762,1.0148
