dataSet,num_nodes,num_edges,openMP,GPU
TSOPF_RS_b39_c30,60099,1079986,129.48,4.9
pkustk03,63337,1596876,86.82,5.21
crystk02,13966,491274,32.9,3.0
barrier2-2,113077,3805068,175.33,21.13
af_2_k101,503626,9027150,870.0,303.92
ckt11752_dc_1,49703,333029,134.21,6.61
af_shell3,504856,9046865,537.58,11.45
Zd_Jac3,22836,1916152,51.9,22.61
boyd2,466317,890091,399.82,71.18
hi2010,25017,62063,45.51,1.71
TSOPF_FS_b300_c3,84415,6578753,134.6,12.84
AS365,3799276,11368076,3970.39,12.6
delaunay_n18,262145,786396,369.24,3.19
af_shell6,504856,9046865,676.46,12.52
Geo_1438,1437961,32297325,1717.67,36.08
coPapersDBLP,540487,15245729,687.05,21.53
web-Google,916429,5105039,839.49,6.81
ct20stif,52330,1375396,66.19,6.53
pkustk13,94894,3355860,118.28,8.25
cage15,5154860,99199551,6409.43,83.14
torso1,116159,8516500,347.59,108.21
TSOPF_FS_b39_c19,76217,998359,83.49,3.5
finance256,37377,167936,58.71,2.17
usroads-48,126147,161950,135.85,2.05
bcsstk35,30238,740200,99.23,4.55
rim,22561,1014951,42.81,4.1
hangGlider_4,15562,79088,32.79,12.95
af_shell2,504856,9046865,446.74,11.88
adaptive,6815745,13624320,6055.74,17.17
Long_Coup_dt0,1470153,44279572,1295.1,51.34
af_shell1,504856,9046865,454.16,11.78
ted_B_unscaled,10606,77592,24.99,1.69
crankseg_2,63839,7106348,128.93,14.51
pkustk06,43165,1307466,66.61,5.43
ted_AB,10606,522387,27.68,4.96
lowThrust_5,16263,103701,32.32,1.75
TSOPF_FS_b300_c2,56815,4391071,74.29,10.35
raefsky4,19780,674195,38.33,3.84
pattern1,19243,4671337,142.7,20.83
Pres_Poisson,14823,365313,31.66,2.83
tube1,21499,459277,37.75,2.46
crystk03,24697,887937,42.77,3.19
kkt_power,2063495,8130343,1991.58,9.42
inline_1,503713,18660027,555.81,39.98
H2O,67025,1141880,83.96,3.18
ca-CondMat,23134,93497,45.99,1.89
TSOPF_FS_b9_c6,14455,75801,29.59,1.49
Bump_2911,2911420,65320659,2893.14,70.15
ted_AB_unscaled,10606,522387,39.72,5.33
rma10,46836,2374001,62.76,6.16
pds10,16559,83108,34.04,1.88
conf5_4-8x8-15,49153,1916928,65.9,4.53
conf5_4-8x8-10,49153,1916928,63.02,4.55
wikipedia-20051105,1634990,19753078,1544.61,29.19
vsp_sctap1-2b_and_seymourl,40175,140831,63.62,3.62
bmw7st_1,141348,3740507,137.45,11.61
TSOPF_RS_b300_c3,42139,4413449,71.29,10.76
language,399131,1216334,342.1,23.37
t3dl_a,20361,265113,39.5,2.21
rgg_n_2_22_s0,4194305,30359198,3647.91,27.01
Cube_Coup_dt6,2164761,64685452,2509.03,72.71
cvxqp3,17501,69981,34.1,1.78
Reuters911,13333,148038,29.38,5.35
pct20stif,52330,1375396,62.97,6.45
web-NotreDame,325730,1497134,255.85,10.11
bcsstk36,23053,583096,39.25,3.8
NLR,4163764,12487976,3770.21,14.21
gsm_106857,589447,11174185,749.72,12.67
k3plates,11108,378927,42.59,3.2
ak2010,45293,108549,54.26,2.13
c-51,23197,113123,33.99,3.71
af_4_k101,503626,9027150,405.87,11.8
delaunay_n21,2097153,6291408,1911.19,9.24
bcsstk39,46773,1068033,69.61,3.8
bcsstk18,11949,80519,28.11,1.92
gyro,17362,519260,33.8,3.44
boneS01,127225,3421188,119.1,6.37
c-64,51036,384438,60.62,2.98
TSOPF_RS_b300_c1,14539,1474325,36.32,6.96
sinc15,11533,568526,34.68,5.29
stokes64,12547,74242,29.17,1.58
598a,110972,741934,102.29,2.65
wiki-Talk,2394386,5021410,2513.77,221.09
kron_g500-logn18,262145,10583222,349.09,64.53
audikw_1,943696,39297771,1107.36,47.05
t2dah,11446,93781,36.75,1.72
NotreDame_www,325730,929849,255.39,3.43
wing_nodal,10938,75488,26.96,1.57
nd12k,36001,7128473,82.69,19.0
ins2,309413,1530448,532.73,907.93
pkustk14,151927,7494215,198.93,14.67
t2dah_a,11446,93781,28.26,1.56
bcsstk32,44610,1029655,56.26,4.46
Si87H76,240370,5451000,256.51,9.35
HTC_336_9129,226341,554881,215.86,3.13
conf6_0-8x8-80,49153,1916928,66.26,4.56
mouse_gene,45102,14506196,328.97,49.66
vibrobox,12329,177578,28.92,2.93
lowThrust_6,16929,108376,42.06,1.7
RM07R,381690,37464962,568.83,50.13
barrier2-12,115626,3897557,130.7,23.33
helm2d03,392258,1567096,323.63,3.74
jan99jac120sc,41375,260202,59.32,2.13
lp1,534389,1088904,462.63,3.54
barrier2-10,115626,3897557,129.46,23.08
bcsstk17,10975,219812,26.57,3.06
coAuthorsCiteseer,227321,814134,197.84,3.85
af_shell7,504856,9046865,457.85,11.56
dblp-2010,326187,807700,274.48,4.1
FullChip,2987013,26621990,3421.27,11149.43
2D_27628_bjtcai,27629,442898,70.74,3.19
gupta3,16784,4670105,272.21,443.75
TSOPF_FS_b162_c1,10799,305732,24.67,3.45
delaunay_n16,65537,196575,73.17,2.04
c-45,13207,93829,28.76,1.75
mario002,389875,1167685,324.19,3.24
mark3jac040sc,18290,113435,38.54,1.72
2D_54019_highK,54020,996414,66.51,5.64
pkustk10,80677,2194830,90.04,5.94
c-53,30236,201224,46.31,2.4
shipsec1,140875,3977139,139.54,7.11
vsp_vibrobox_scagr7-2c_rlfddd,77329,435586,82.57,3.29
troll,213454,6099282,241.3,11.15
srb1,54925,1508538,66.8,8.14
transient,178867,961790,200.08,143.09
stokes128,49667,295938,66.72,2.35
bcsstk25,15440,133840,35.39,2.07
c-66,49990,274498,60.52,6.65
roadNet-PA,1090921,1541898,895.79,5.46
net150,43521,1582360,75.59,5.27
conf6_0-8x8-20,49153,1916928,64.21,4.53
a0nsdsil,80017,200021,81.69,18.18
TSOPF_RS_b678_c1,18697,4396289,59.85,16.37
cit-Patents,3774769,16518948,3395.41,19.26
crystm03,24697,304233,69.27,2.23
fem_hifreq_circuit,491101,20239237,527.15,23.03
af_shell4,504856,9046865,432.64,11.67
t3dl,20361,265113,37.93,2.18
EAT_RS,23220,325592,40.91,3.67
Freescale1,3428756,18920347,3251.34,19.68
msdoor,415864,10328399,474.53,13.57
vsp_barth5_1Ksep_50in_5Kout,32213,101805,45.83,1.43
delaunay_n17,131073,393176,117.88,2.35
c-46,14914,72655,33.53,1.69
smallworld,100001,499998,96.24,2.45
bcsstk31,35589,608502,51.16,3.06
c-54,31794,211743,52.48,4.4
Si5H12,19897,379247,42.25,5.74
lowThrust_10,18261,116074,40.15,1.6
CoupCons3D,416801,22322336,440.51,28.33
shipsec5,179861,5146478,199.51,9.01
pli,22696,686502,41.61,3.34
roadNet-CA,1971282,2766607,1642.29,7.56
msc23052,23053,588933,49.22,4.59
li,22696,1350309,41.82,4.22
crplat2,18011,489478,35.91,2.88
halfb,224618,6306219,210.83,9.92
c-66b,49990,274498,59.0,6.6
af_shell8,504856,9046865,451.98,11.58
qa8fm,66128,863353,75.38,2.9
pcrystk02,13966,491274,29.77,2.97
af_1_k101,503626,9027150,420.61,11.82
oilpan,73753,1835470,85.93,4.48
TSOPF_RS_b300_c2,28339,2943887,54.25,7.99
c-56,35911,208405,51.75,4.46
lhr34,35153,764014,50.89,3.57
delaunay_n22,4194305,12582869,4079.75,15.9
delaunay_n20,1048577,3145686,1247.81,5.57
mult_dcop_03,25188,193216,56.99,43.92
cond-mat-2005,40422,175693,68.05,2.52
wikipedia-20061104,3148441,39383235,3493.52,44.47
c-57,37834,221515,118.47,2.4
brainpc2,27608,96601,48.29,1.48
x104,108385,5138004,116.57,10.15
de2010,24116,58028,40.19,1.63
netherlands_osm,2216689,2441238,1681.84,5.96
CurlCurl_0,11084,62213,32.77,1.68
kim1,38416,933195,56.3,3.38
CurlCurl_4,2380516,14448191,2423.01,16.35
TSOPF_RS_b2383_c1,38121,16171169,172.03,39.26
case39,40217,526139,58.96,2.97
usroads,129165,165435,137.18,1.95
3dtube,45331,1629474,59.26,27.67
italy_osm,6686494,7013978,5232.65,13.22
fcondp2,201823,5748069,289.65,9.12
consph,83335,3046907,115.14,6.14
GaAsH6,61350,1721579,80.96,23.62
m14b,214766,1679018,241.85,4.01
BenElechi1,245875,6698185,227.99,9.95
wikipedia-20060925,2983495,37269096,3616.8,43.58
c-68,64811,315408,261.13,6.66
lowThrust_9,18045,114806,37.83,1.85
G2_circuit,150103,438388,172.59,2.25
CO,221120,3943588,246.58,6.43
net100,29921,1031560,54.0,4.53
TSOPF_RS_b678_c2,35697,8781949,130.03,21.14
c-62ghs,41732,300537,64.86,10.22
pkustk09,33961,808800,51.35,3.63
c-49,21133,89087,42.39,3.7
ex19,12006,259879,28.13,2.07
vsp_model1_crew1_cr42_south31,45102,189976,55.81,2.2
Trefethen_20000,20001,287233,37.89,2.35
lhr71c,70305,1528092,84.61,4.47
ccc,49153,73728,72.25,1.52
c-62,41732,300537,57.06,10.37
vsp_bcsstk30_500sep_10in_1Kout,58349,2016578,88.07,4.53
pkustk11,87805,2652858,107.43,7.1
in-2004,1382909,16917053,1308.91,46.17
case9,14455,75801,31.29,2.06
TSOPF_RS_b162_c3,15375,610299,32.07,3.81
Zd_Jac2,22836,1642833,49.33,19.92
c-73,169423,724348,156.26,2.91
Ga10As10H30,113082,3114357,122.46,11.29
cant,62452,2034917,76.19,4.5
memplus,17759,126150,38.62,5.03
gearbox,153747,4617075,164.63,8.1
brack2,62632,366559,70.89,2.54
Serena,1391350,32961525,1363.55,37.02
rajat26,51033,249302,64.93,11.57
3D_51448_3D,51449,1056610,60.97,18.46
cont-300,180896,539396,170.21,2.69
ship_003,121729,4103881,131.84,7.45
nasasrb,54871,1366097,67.98,4.19
a5esindl,60009,145004,73.74,10.19
kron_g500-logn20,1048577,44620272,1414.06,179.25
std1_Jac2,21983,1248731,56.47,19.06
mult_dcop_02,25188,193276,57.78,43.99
vsp_bump2_e18_aa01_model1_crew1,56439,300801,64.59,2.44
ted_A,10606,424587,24.42,4.03
ramage02,16831,1441591,39.67,5.57
bcsstm36,23053,166389,43.25,2.67
circuit5M_dc,3523318,19194193,3398.67,19.9
as-caida,31380,106762,150.06,6.94
c-64b,51036,384438,65.77,2.86
rgg_n_2_15_s0,32769,160240,50.37,1.9
lowThrust_12,18459,117423,32.87,1.94
dawson5,51538,531157,63.67,2.88
cnr-2000,325558,3216152,258.91,20.25
circuit_4,80210,307604,83.36,13.8
enron,69245,276143,69.07,8.57
OPF_10000,43888,255799,58.42,2.52
144,144650,1074393,125.59,2.88
conf6_0-8x8-30,49153,1916928,66.71,4.31
hugetric-00000,5824555,8733523,4998.04,13.46
cyl6,13682,363961,88.73,3.33
PFlow_742,742794,18940627,678.77,22.43
luxembourg_osm,114600,119666,109.42,1.87
3Dspectralwave,680944,17165766,809.1,18.86
tube2,21499,459277,53.03,3.12
smt,25711,1889447,56.4,6.22
gupta1,31803,1098006,51.6,4.69
NACA0015,1039184,3114818,1048.0,6.61
laminar_duct3D,67174,3833077,119.45,7.62
Andrews,60001,410077,72.28,2.63
nd6k,18001,3457658,43.31,14.36
lowThrust_4,13563,84240,32.78,1.96
pkustk08,22210,1624440,46.93,9.02
wikipedia-20070206,3566908,45030389,3511.05,46.15
Emilia_923,923137,20964171,1182.38,25.28
crankseg_1,52805,5333507,111.53,11.82
lowThrust_13,18477,117580,42.52,1.92
cage14,1505786,27130349,1822.74,24.34
pkustk12,94654,3803485,237.34,92.01
c-67b,57976,294955,67.79,3.14
gridgena,48963,280523,63.45,2.34
ex11,16615,1096948,34.38,4.3
cond-mat-2003,31164,120029,47.15,2.05
ca-HepPh,12009,118521,27.8,3.63
pcrystk03,24697,887937,44.19,3.45
af_shell10,1508066,27090195,1475.61,29.88
pkustk07,16861,1217832,55.64,7.88
Si41Ge41H72,185640,7598452,245.64,17.47
Chebyshev4,68122,5377761,577.71,1259.91
circuit5M,5558327,59524291,9129.16,6158.04
F1,343792,13590452,389.09,20.08
pkustk04,55591,2137125,85.42,57.49
vanbody,47073,1191985,60.17,4.59
barrier2-3,113077,3805068,134.85,20.21
Long_Coup_dt6,1470153,44279572,1372.93,51.22
TSOPF_RS_b39_c7,14099,252446,35.25,4.91
nh2010,48838,117275,60.75,1.67
barrier2-11,115626,3897557,141.18,23.36
dielFilterV2clx,607233,12958252,580.89,15.41
eu-2005,862665,19235140,1062.24,36.41
ML_Laplace,377003,27689972,543.5,35.11
Ga3As3H12,61350,3016148,105.76,24.74
Dubcova1,16130,134569,36.27,1.78
bloweybl,30004,70001,43.57,18.48
TSOPF_FS_b162_c3,30799,904612,51.28,4.08
c-59,41283,260909,60.24,6.56
Ga41As41H72,268097,9378286,315.57,18.95
c-58,37596,295076,56.23,10.64
Flan_1565,1564795,59485419,1952.57,67.47
trdheim,22099,978711,45.88,4.3
crystm02,13966,168435,35.56,2.1
rajat29,643995,4866270,631.37,1046.28
auto,448696,3314611,447.48,5.79
engine,143572,2424822,151.34,5.9
kron_g500-logn19,524289,21781478,779.91,146.63
cont-201,80596,239596,92.92,2.38
c-52,23949,113332,42.07,4.01
bbmat,38745,1771722,60.23,5.21
gupta2,62065,2155175,86.87,5.63
c-48,18355,92217,46.35,2.8
msc10848,10849,620313,40.2,7.06
Ge99H100,112986,4282190,138.15,10.41
c-43,11126,67400,31.24,2.02
citationCiteseer,268496,1156647,229.86,4.74
TSOPF_FS_b39_c30,120217,1575639,115.01,4.16
onetone2,36058,227628,54.65,2.31
Hook_1498,1498024,31207734,1633.43,34.84
blockqp1,60013,340022,89.32,80.63
mario001,38435,114643,50.72,1.62
net125,36721,1306960,72.16,5.06
igbt3,10939,234006,32.25,2.43
vsp_msc10848_300sep_100in_1Kout,21997,1221028,50.63,6.63
ecology2,1000000,2997995,912.86,4.96
lowThrust_7,17379,110607,40.3,1.78
turon_m,189925,912345,189.57,3.16
rajat22,39900,197264,73.32,7.45
viscorocks,37763,1162244,51.05,3.72
ri2010,25182,62875,44.6,1.69
Dubcova3,146690,1891669,175.76,4.12
vsp_c-60_data_cti_cs4,85831,241080,90.61,5.29
cbuckle,13682,345098,36.25,3.03
coPapersCiteseer,434103,16036720,479.03,29.42
coAuthorsDBLP,299068,977676,290.0,5.05
darcy003,389875,1167685,336.54,3.56
c-55,32781,218115,57.13,6.43
bone010,986704,36326514,1199.98,42.0
kron_g500-logn16,65537,2456398,97.86,21.64
fxm4_6,18893,258368,34.18,2.6
vsp_befref_fxm_2_4_air02,14110,98224,34.44,1.8
s3dkq4m2,90450,2455670,91.99,4.97
bauru5727,40367,145019,70.78,2.27
foldoc,13357,120238,30.51,1.83
flickr,820879,9837214,1064.57,33.99
SiO,33402,675528,55.68,11.36
tsyl201,20686,1237821,42.47,5.78
ldoor,952204,23737339,994.41,28.19
boyd1,93280,652246,225.4,1520.58
net50,16321,480760,52.84,4.37
olafu,16147,515651,39.2,3.44
kron_g500-logn17,131073,5114375,226.63,59.82
ted_A_unscaled,10606,424587,29.77,4.1
struct3,53571,613632,82.05,2.87
rajat15,37262,443573,61.11,7.26
Cube_Coup_dt0,2164761,64685452,2135.96,72.57
Fault_639,638803,14626683,605.44,18.59
Si34H36,97570,2626974,112.27,8.36
Stanford,281904,2312497,264.14,77.85
wy2010,86205,213793,91.69,2.32
m_t1,97579,4925574,121.05,9.75
ohne2,181344,11063545,264.41,22.23
tandem_vtx,18455,135902,40.13,2.03
PR02R,161071,8185136,189.42,11.93
gyro_m,17362,178896,37.86,2.28
c-73b,169423,724348,167.86,3.21
bloweya,30005,80005,51.51,18.54
a2nnsnsl,80017,196115,92.99,17.85
me2010,69519,167738,85.91,2.14
largebasis,440021,5560100,514.06,8.51
c-70,68925,363955,86.3,8.95
p2p-Gnutella31,62587,147892,69.0,2.11
vsp_mod2_pgp2_slptsk,101365,389368,108.06,3.56
mark3jac060sc,27450,170695,49.24,2.16
filter3D,106438,1406808,124.96,4.07
bcsstk30,28925,1036208,54.48,5.27
e40r0100,17282,553562,35.95,3.42
ship_001,34921,2339575,55.07,7.37
af_shell5,504856,9046865,524.22,12.41
SiO2,155332,5719417,189.11,65.18
c-50,22402,108013,42.35,3.95
c-big,345242,1343126,369.87,39.09
Zd_Jac6,22836,1711983,52.22,22.94
pwtk,217919,5926171,207.39,10.61
TSOPF_RS_b162_c4,20375,812749,42.1,6.0
human_gene1,22284,12345963,273.41,136.21
Si10H16,17078,446500,35.19,5.55
tmt_sym,726714,2903837,647.96,5.72
nv2010,84539,208499,129.58,2.4
G3_circuit,1585479,4623152,1794.44,7.12
mip1,66464,5209641,131.52,24.07
delaunay_n15,32769,98274,49.91,1.74
conf5_4-8x8-05,49153,1916928,67.24,4.81
c-63,44235,239469,56.92,7.09
hangGlider_5,16012,82070,35.8,12.74
pkustk01,22045,500712,39.09,4.89
nd24k,72001,14393817,168.07,28.5
c-71,76639,468096,116.0,13.03
s4dkt3m2,90450,1921955,87.61,4.63
af_0_k101,503626,9027150,449.99,12.68
pkustk02,10801,410400,27.4,5.39
mult_dcop_01,25188,193276,47.38,43.9
debr,1048577,2097149,959.18,4.97
bratu3d,27793,88627,85.97,1.75
ecology1,1000001,2998000,918.73,5.29
belgium_osm,1441296,1549970,1596.88,4.92
Ge87H76,112986,4002590,141.77,9.89
ca-AstroPh,18773,198110,35.3,2.78
gyro_k,17362,519260,40.01,3.52
vsp_c-30_data_data,11024,62184,23.74,1.81
c-65,48067,204297,68.05,6.82
soc-LiveJournal1,4847572,68993773,5132.82,82.02
dielFilterV3clx,420409,16653308,688.81,21.35
lhr34c,35153,764014,52.74,3.66
vsp_south31_slptsk,39669,189914,52.93,2.53
conf5_4-8x8-20,49153,1916928,64.74,4.56
raefsky3,21201,1488768,39.3,4.27
dictionary28,52653,89038,60.06,1.86
parabolic_fem,525826,2100225,445.24,4.51
vsp_p0291_seymourl_iiasa,10499,53868,40.46,2.46
email-Enron,36693,183831,54.38,6.42
TSOPF_RS_b2383,38121,16171169,174.59,40.21
ckt11752_tr_0,49703,333029,61.04,7.32
hollywood-2009,1139906,57515616,4206.37,134.61
bundle_adj,513352,10360701,593.0,15.77
rajat30,643995,6175377,617.57,1048.54
juba40k,40338,144945,62.02,2.2
lhr71,70305,1528092,82.79,4.45
lowThrust_8,17703,113139,37.17,1.84
caidaRouterLevel,192245,609066,177.25,2.9
barrier2-4,113077,3805068,131.59,20.26
ljournal-2008,5363261,79023142,6209.04,98.43
333SP,3712816,11108633,4356.23,12.99
3Dspectralwave2,292009,7307376,348.02,9.49
copter1,17223,114143,34.27,1.61
bcsstk37,25504,583240,50.95,3.42
skirt,12599,104559,29.27,1.65
Ga19As19H42,133124,4508981,162.41,13.34
net75,23121,756160,44.64,4.39
barrier2-9,115626,3897557,131.31,23.12
HV15R,2017170,283073458,4010.52,365.57
hood,220543,5494489,218.26,9.54
TSOPF_RS_b2052_c1,25627,6761100,87.23,20.86
boneS10,914899,28191660,859.38,32.85
patents,3774769,14970767,2709.86,15.57
af_3_k101,503626,9027150,413.83,11.52
delaunay_n19,524289,1572823,435.91,3.88
c-60,43641,171109,73.05,5.0
af_5_k101,503626,9027150,394.98,11.48
bundle1,10582,390741,34.09,6.2
c-47,15344,113372,33.38,2.31
Hamrle3,1447361,5514242,1066.72,7.92
astro-ph,16707,121251,41.12,2.71
denormal,89401,622812,94.98,2.82
vsp_finan512_scagr7-2c_rlfddd,139753,552020,161.01,2.94
HTC_336_4438,226341,565431,192.15,2.81
thread,29737,2249892,49.32,7.1
3D_28984_Tetra,28985,599170,44.78,14.81
lowThrust_11,18369,117002,35.24,1.92
ibm_matrix_2,51449,1056610,61.19,18.61
ct2010,67579,168176,74.39,2.1
shipsec8,114920,3384159,114.86,6.75
pdb1HYS,36418,2190591,53.78,6.68
pkustk05,37165,1121154,51.37,5.21
TSOPF_FS_b300,29215,2203949,51.09,7.46
t3dh,79172,2215638,98.1,4.79
soc-sign-Slashdot090221,82145,549202,81.36,4.38
bmw3_2,227363,5757996,212.52,10.66
Trefethen_20000b,20000,287217,38.18,2.38
af_shell9,504856,9046865,483.76,11.63
inlet,11731,328323,32.75,2.45
shermanACb,18511,145149,37.76,19.43
TSOPF_FS_b162_c4,40799,1204322,53.62,4.75
std1_Jac3,21983,1455848,51.26,22.71
ASIC_680k,682863,3871773,816.53,906.58
t3dh_a,79172,2215638,94.42,4.98
TSOPF_RS_b39_c19,38099,684206,52.02,3.34
TSOPF_FS_b300_c1,29215,2203949,50.54,8.31
sparsine,50001,799494,65.23,3.36
dielFilterV2real,1157457,24848204,1313.85,26.4
bmwcra_1,148771,5396386,166.65,10.25
net4-1,88344,1265035,106.98,3.85
windscreen,22693,752541,40.64,3.07
gas_sensor,66918,885141,77.43,3.12
t2dah_e,11446,93781,27.41,1.51
venturiLevel3,4026820,8054237,3831.23,11.4
dc3,116836,766396,235.42,338.15
fullb,199188,5953632,205.42,9.66
t3dh_e,79172,2215638,91.9,4.53
vt2010,32581,77799,46.32,1.73
qa8fk,66128,863353,76.11,3.11
roadNet-TX,1393384,1921660,1301.97,5.96
c-69,67459,345714,94.18,8.52
sme3Dc,42931,3148656,106.12,7.41
as-Skitter,1696416,11095298,1544.05,20.64
TSOPF_FS_b39_c7,28217,368599,44.23,2.77
helm3d01,32227,230335,48.7,2.13
human_gene2,14341,9041364,187.54,111.22
wathen100,30402,251001,51.28,2.22
s3dkt3m2,90450,1921955,92.8,4.33
bcsstk29,13993,316740,35.64,2.87
c-42,10472,60378,25.37,2.46
opt1,15450,973052,33.37,5.17
F2,71506,2682895,90.75,6.02
c-61,43619,176817,56.66,6.17
barrier2-1,113077,3805068,147.33,20.42
wathen120,36442,301101,52.75,2.42
cfd1,70657,949510,82.84,3.38
