dataSet,num_nodes,num_edges,sddmm_tcu,sddmm_cuda,4,8,14,18,22,30,38,50,density,speedup
144,144650,1074393,0.0432,0.0992,0.0396,0.0462,0.0585,0.0953,0.1003,0.1109,0.1175,0.1183,4,1.09
2D_27628_bjtcai,27629,442898,0.0101,0.0354,0.0101,0.0102,0.011,0.0125,0.0135,0.0135,0.0175,0.0282,0,1.0
2D_54019_highK,54020,996414,0.033,0.0687,0.0331,0.0339,0.0363,0.0183,0.0191,0.02,0.0249,0.0478,18,1.8
333SP,3712816,11108633,0.9217,2.2042,0.8897,1.0145,1.4352,1.7249,2.0025,2.7192,2.72,2.719,4,1.04
3D_28984_Tetra,28985,599170,0.0178,0.0401,0.0175,0.0182,0.0191,0.0208,0.0224,0.024,0.0225,0.0347,4,1.02
3D_51448_3D,51449,1056610,0.0287,0.0649,0.0289,0.0306,0.0331,0.0191,0.0208,0.0249,0.0356,0.0544,18,1.5
3Dspectralwave,680944,17165766,0.3407,1.5544,0.3533,0.3914,0.4649,0.819,0.8444,0.9354,1.1136,1.3774,0,0.96
3Dspectralwave2,292009,7307376,0.1134,0.6311,0.1183,0.1339,0.1593,0.2836,0.2927,0.3254,0.4098,0.5302,0,0.96
3dtube,45331,1629474,0.0286,0.1962,0.0281,0.0306,0.0307,0.0338,0.0413,0.0438,0.0445,0.0585,4,1.02
598a,110972,741934,0.0282,0.0741,0.0331,0.0379,0.0462,0.0724,0.0799,0.0871,0.0871,0.0872,0,0.85
a0nsdsil,80017,200021,0.0394,0.0384,0.0396,0.0396,0.0405,0.0372,0.0372,0.0413,0.0413,0.0413,18,1.03
a2nnsnsl,80017,196115,0.0392,0.0382,0.0397,0.0397,0.0397,0.0364,0.0379,0.0404,0.0405,0.0404,18,1.05
a5esindl,60009,145004,0.0305,0.0294,0.0306,0.0307,0.0314,0.0289,0.0289,0.0314,0.0315,0.0315,18,1.02
adaptive,6815745,13624320,0.9597,3.2886,1.003,1.033,1.6807,2.5414,4.3458,4.3458,4.3438,4.3456,0,0.96
af_0_k101,503626,9027150,0.0489,0.6047,0.0503,0.0502,0.0576,0.0585,0.0584,0.0593,0.1266,0.1919,0,0.97
af_1_k101,503626,9027150,0.0535,0.6573,0.0503,0.0502,0.0584,0.0584,0.0585,0.0593,0.1264,0.1919,8,1.07
af_2_k101,503626,9027150,0.0537,0.6572,0.0502,0.0503,0.0577,0.0584,0.0585,0.0593,0.1271,0.1919,4,1.07
af_3_k101,503626,9027150,0.0533,0.6572,0.0503,0.0502,0.0577,0.0584,0.0584,0.0593,0.1265,0.1919,8,1.06
af_4_k101,503626,9027150,0.0535,0.6572,0.0503,0.0503,0.0584,0.0585,0.0585,0.0593,0.1265,0.1919,4,1.06
af_5_k101,503626,9027150,0.0532,0.6573,0.0502,0.0502,0.0585,0.0585,0.0585,0.0594,0.1266,0.192,4,1.06
af_shell1,504856,9046865,0.0653,0.6608,0.0658,0.0658,0.0773,0.0601,0.0609,0.0731,0.1084,0.1952,18,1.09
af_shell10,1508066,27090195,0.2369,1.9669,0.2339,0.2388,0.2813,0.2813,0.2787,0.3506,0.5039,0.865,4,1.01
af_shell2,504856,9046865,0.0655,0.6617,0.0657,0.0658,0.0772,0.0609,0.0609,0.0731,0.1092,0.1952,18,1.08
af_shell3,504856,9046865,0.0656,0.6619,0.0658,0.0657,0.0773,0.061,0.0608,0.0732,0.1093,0.1952,22,1.08
af_shell4,504856,9046865,0.0658,0.6618,0.0658,0.0658,0.0773,0.0609,0.0609,0.0732,0.1093,0.1952,18,1.08
af_shell5,504856,9046865,0.066,0.6618,0.0658,0.0658,0.0773,0.0609,0.0608,0.0732,0.1092,0.1951,22,1.09
af_shell6,504856,9046865,0.066,0.6616,0.0657,0.0658,0.0773,0.0609,0.0609,0.0731,0.1093,0.1952,18,1.08
af_shell7,504856,9046865,0.0662,0.6618,0.0658,0.0658,0.0772,0.0609,0.0609,0.0732,0.1092,0.1951,18,1.09
af_shell8,504856,9046865,0.0656,0.6617,0.0657,0.0657,0.0773,0.0608,0.0609,0.0731,0.1092,0.1951,18,1.08
af_shell9,504856,9046865,0.0658,0.6617,0.0658,0.0658,0.0772,0.0609,0.0616,0.0732,0.1092,0.1951,18,1.08
ak2010,45293,108549,0.0222,0.0247,0.0207,0.0208,0.0223,0.024,0.0272,0.0272,0.0273,0.0273,4,1.07
Andrews,60001,410077,0.0181,0.0439,0.019,0.0215,0.0281,0.0511,0.0518,0.051,0.0511,0.051,0,0.95
AS365,3799276,11368076,1.5334,2.4444,1.5712,1.6734,2.2826,2.6412,2.9423,2.9942,2.9937,2.9938,0,0.98
as-caida,31380,106762,0.0206,0.0221,0.0207,0.0199,0.0191,0.0226,0.0234,0.0243,0.0243,0.0243,14,1.08
ASIC_680k,682863,3871773,0.3979,0.5098,0.4032,0.4065,0.422,0.2951,0.2951,0.5139,0.5098,0.5155,18,1.35
as-Skitter,1696416,11095298,1.0082,1.479,1.03,1.0857,1.1962,1.5422,1.5589,1.5673,1.6035,1.6194,0,0.98
astro-ph,16707,121251,0.0061,0.0185,0.006,0.0067,0.0076,0.0133,0.0142,0.0166,0.0168,0.0182,4,1.02
audikw_1,943696,39297771,0.474,4.7341,0.4886,0.514,0.5729,0.68,0.6855,0.7799,1.0651,1.784,0,0.97
auto,448696,3314611,0.1147,0.2934,0.1207,0.1419,0.1804,0.2959,0.3081,0.3279,0.3401,0.3508,0,0.95
barrier2-1,113077,3805068,0.0753,0.4087,0.0772,0.0813,0.0922,0.1822,0.1878,0.1985,0.2993,0.3803,0,0.98
barrier2-10,115626,3897557,0.0766,0.419,0.0781,0.0838,0.0945,0.1863,0.1919,0.2084,0.3066,0.3894,0,0.98
barrier2-11,115626,3897557,0.0767,0.419,0.0781,0.0838,0.0944,0.1862,0.192,0.2084,0.3066,0.3894,0,0.98
barrier2-12,115626,3897557,0.0766,0.419,0.0781,0.0838,0.0946,0.1862,0.192,0.2083,0.3067,0.3895,0,0.98
barrier2-2,113077,3805068,0.0753,0.4085,0.0768,0.0814,0.0921,0.1821,0.1879,0.1986,0.2993,0.3804,0,0.98
barrier2-3,113077,3805068,0.0748,0.4087,0.0764,0.0813,0.0921,0.1821,0.1878,0.1985,0.2994,0.3805,0,0.98
barrier2-4,113077,3805068,0.0753,0.4086,0.0773,0.0814,0.0921,0.1821,0.1878,0.1985,0.2993,0.3805,0,0.97
barrier2-9,115626,3897557,0.0763,0.419,0.0781,0.0839,0.0945,0.1862,0.1919,0.2083,0.3067,0.3894,0,0.98
bauru5727,40367,145019,0.0084,0.028,0.0084,0.0085,0.0093,0.0142,0.0216,0.0257,0.0297,0.0297,0,1.0
bbmat,38745,1771722,0.0152,0.2169,0.015,0.0158,0.0183,0.0298,0.0338,0.0347,0.0364,0.0412,4,1.01
bcsstk17,10975,219812,0.0046,0.0215,0.0052,0.0053,0.006,0.0101,0.0102,0.0109,0.0126,0.0142,0,0.88
bcsstk18,11949,80519,0.0042,0.0126,0.0044,0.0044,0.006,0.0093,0.0101,0.0109,0.0117,0.0134,0,0.95
bcsstk25,15440,133840,0.0045,0.0154,0.0053,0.0053,0.0069,0.0094,0.0102,0.0118,0.0126,0.0142,0,0.85
bcsstk29,13993,316740,0.0053,0.0282,0.0052,0.0053,0.006,0.0101,0.011,0.0118,0.0126,0.0151,4,1.02
bcsstk30,28925,1036208,0.0105,0.1211,0.011,0.0102,0.0109,0.0126,0.0143,0.0168,0.0216,0.0322,8,1.03
bcsstk31,35589,608502,0.0094,0.0511,0.0102,0.0109,0.0118,0.0126,0.0151,0.0175,0.0241,0.0306,0,0.92
bcsstk32,44610,1029655,0.0141,0.0823,0.0143,0.0151,0.0134,0.0159,0.0176,0.0216,0.0257,0.0314,14,1.05
bcsstk35,30238,740200,0.0103,0.0617,0.0109,0.011,0.0118,0.0126,0.0143,0.0167,0.0183,0.0232,0,0.94
bcsstk36,23053,583096,0.0071,0.0467,0.0076,0.0076,0.0076,0.0126,0.0141,0.0159,0.0167,0.0192,0,0.93
bcsstk37,25504,583240,0.008,0.0455,0.0077,0.0077,0.0088,0.0126,0.0142,0.0158,0.0176,0.0192,4,1.04
bcsstk39,46773,1068033,0.0104,0.071,0.011,0.011,0.0134,0.0142,0.0142,0.015,0.0207,0.0282,0,0.95
bcsstm36,23053,166389,0.0062,0.0188,0.0061,0.0061,0.007,0.0109,0.0109,0.0118,0.0127,0.0159,4,1.02
belgium_osm,1441296,1549970,0.1364,0.7063,0.1341,0.1862,0.8559,0.8601,0.8596,0.8599,0.8597,0.8597,4,1.02
BenElechi1,245875,6698185,0.0404,0.3833,0.042,0.0429,0.0405,0.0502,0.0708,0.1035,0.1035,0.1051,0,1.0
blockqp1,60013,340022,0.0367,0.043,0.0364,0.0372,0.0412,0.0372,0.0372,0.0371,0.0372,0.0372,4,1.01
bloweya,30005,80005,0.0193,0.019,0.0199,0.0199,0.0191,0.02,0.02,0.02,0.0208,0.0208,128,0.99
bloweybl,30004,70001,0.0196,0.0191,0.0201,0.0202,0.0193,0.0202,0.0194,0.0202,0.021,0.021,128,0.99
bmw3_2,227363,5757996,0.1155,0.5497,0.1183,0.1085,0.1158,0.1281,0.1362,0.151,0.1495,0.1757,8,1.06
bmw7st_1,141348,3740507,0.0819,0.3608,0.083,0.0856,0.0896,0.0789,0.0846,0.0936,0.1085,0.1298,18,1.04
bmwcra_1,148771,5396386,0.0588,0.6107,0.0601,0.0625,0.0609,0.0732,0.0797,0.0896,0.1134,0.1518,0,0.98
bone010,986704,36326514,0.3135,4.8347,0.316,0.3494,0.4219,0.5379,0.5593,0.5917,0.6385,0.9997,0,0.99
boneS01,127225,3421188,0.0266,0.3777,0.0265,0.0282,0.034,0.0405,0.0429,0.0511,0.0642,0.0847,4,1.0
boneS10,914899,28191660,0.2603,3.3564,0.27,0.2933,0.3487,0.4259,0.4569,0.5172,0.6232,0.8546,0,0.96
boyd1,93280,652246,0.0593,0.1411,0.0601,0.0592,0.0532,0.0579,0.0578,0.0576,0.0896,0.1078,14,1.11
boyd2,466317,890091,0.2621,0.24,0.2731,0.2731,0.2559,0.2576,0.2575,0.2387,0.2436,0.2437,30,1.01
brack2,62632,366559,0.0149,0.041,0.015,0.0167,0.0225,0.0233,0.0267,0.0332,0.0397,0.0478,0,0.99
brainpc2,27608,96601,0.0054,0.0173,0.0061,0.0077,0.0136,0.0136,0.0134,0.0134,0.0166,0.0167,0,0.89
bratu3d,27793,88627,0.0054,0.0125,0.0053,0.0052,0.011,0.0126,0.0126,0.0134,0.015,0.0143,8,1.04
Bump_2911,2911420,65320659,0.7062,4.4152,0.7288,0.8022,0.9951,1.1059,1.1886,1.6687,2.3887,2.8007,0,0.97
bundle1,10582,390741,0.006,0.0445,0.006,0.0061,0.006,0.0102,0.0109,0.0102,0.0109,0.0134,0,1.0
bundle_adj,513352,10360701,0.1192,0.7803,0.1362,0.1632,0.1846,0.1992,0.2124,0.2616,0.3017,0.3529,0,0.88
c-42,10472,60378,0.0088,0.0139,0.0086,0.0085,0.0085,0.0134,0.0134,0.0134,0.0135,0.0145,8,1.04
c-43,11126,67400,0.0063,0.0134,0.0062,0.0061,0.0078,0.0135,0.0135,0.0135,0.0135,0.0134,8,1.03
c-45,13207,93829,0.0048,0.0124,0.0052,0.0052,0.0085,0.0109,0.011,0.0126,0.0127,0.0126,0,0.92
c-46,14914,72655,0.0056,0.0155,0.0061,0.006,0.0086,0.0151,0.015,0.015,0.0151,0.0158,0,0.93
c-47,15344,113372,0.0122,0.0214,0.0118,0.0118,0.011,0.02,0.0208,0.0208,0.0209,0.0216,14,1.11
c-48,18355,92217,0.0131,0.0188,0.0134,0.0134,0.0135,0.0175,0.0176,0.0175,0.0183,0.0191,0,0.98
c-49,21133,89087,0.0149,0.0203,0.0151,0.015,0.0151,0.0192,0.0192,0.02,0.02,0.0208,0,0.99
c-50,22402,108013,0.0154,0.0216,0.015,0.0159,0.0159,0.0183,0.0191,0.02,0.0209,0.0208,4,1.03
c-51,23197,113123,0.0157,0.0219,0.0159,0.0159,0.0159,0.0199,0.0208,0.0208,0.0207,0.0217,0,0.99
c-52,23949,113332,0.0161,0.0227,0.0159,0.0167,0.0167,0.0208,0.0207,0.0209,0.0209,0.0224,4,1.01
c-53,30236,201224,0.0157,0.0264,0.0159,0.0168,0.0184,0.0225,0.0224,0.0233,0.0241,0.0249,0,0.99
c-54,31794,211743,0.0203,0.0298,0.0208,0.0207,0.0216,0.0233,0.0232,0.0241,0.0249,0.0257,0,0.98
c-55,32781,218115,0.0209,0.0361,0.0216,0.0217,0.0216,0.0265,0.0274,0.0281,0.0306,0.0323,0,0.97
c-56,35911,208405,0.0227,0.0312,0.0232,0.0232,0.024,0.0256,0.0257,0.0265,0.0274,0.029,0,0.98
c-57,37834,221515,0.0102,0.0306,0.0101,0.0101,0.0192,0.0249,0.0257,0.0265,0.0265,0.0265,4,1.01
c-58,37596,295076,0.0257,0.0479,0.0265,0.0265,0.0258,0.0412,0.0413,0.0422,0.0437,0.047,0,1.0
c-59,41283,260909,0.026,0.0426,0.0257,0.0266,0.0264,0.0315,0.0315,0.0322,0.0347,0.0372,4,1.01
c-60,43641,171109,0.0274,0.0338,0.0273,0.0289,0.029,0.029,0.029,0.0323,0.0331,0.034,4,1.0
c-61,43619,176817,0.0268,0.0341,0.0273,0.0274,0.0282,0.0299,0.0306,0.0323,0.033,0.0347,0,0.98
c-62,41732,300537,0.0267,0.0474,0.0265,0.0273,0.0265,0.0339,0.0347,0.0347,0.0388,0.0412,4,1.01
c-62ghs,41732,300537,0.0268,0.0475,0.0266,0.0273,0.0266,0.0339,0.0339,0.0354,0.0388,0.0413,4,1.01
c-63,44235,239469,0.0276,0.0394,0.0273,0.0281,0.0282,0.0315,0.0314,0.0331,0.0347,0.0356,4,1.01
c-64,51036,384438,0.0191,0.0416,0.0191,0.0199,0.0282,0.0315,0.0322,0.0338,0.0355,0.0363,0,1.0
c-64b,51036,384438,0.0191,0.0418,0.0192,0.0199,0.0281,0.0315,0.0322,0.034,0.0355,0.0364,0,0.99
c-65,48067,204297,0.0299,0.0372,0.0297,0.0306,0.0306,0.0323,0.0323,0.0347,0.0355,0.0372,4,1.01
c-66,49990,274498,0.0304,0.0418,0.0306,0.0314,0.0323,0.0331,0.0331,0.0338,0.0356,0.038,0,0.99
c-66b,49990,274498,0.0305,0.0419,0.0306,0.0314,0.0323,0.0331,0.0331,0.0339,0.0362,0.038,0,1.0
c-67b,57976,294955,0.0347,0.043,0.0355,0.0371,0.038,0.0339,0.0331,0.034,0.0372,0.0397,22,1.05
c-68,64811,315408,0.0389,0.052,0.0388,0.0404,0.0413,0.0437,0.0445,0.0437,0.0479,0.0512,4,1.0
c-69,67459,345714,0.0404,0.0539,0.0404,0.0412,0.0437,0.0429,0.0437,0.0453,0.0478,0.0502,0,1.0
c-70,68925,363955,0.0415,0.057,0.0412,0.042,0.0437,0.0445,0.0454,0.0462,0.0486,0.0519,4,1.01
c-71,76639,468096,0.0453,0.0708,0.0461,0.0469,0.0469,0.0535,0.0543,0.0559,0.0592,0.0634,0,0.98
c-73,169423,724348,0.0253,0.0975,0.0264,0.0265,0.0691,0.0854,0.0863,0.0962,0.0961,0.0987,0,0.96
c-73b,169423,724348,0.0257,0.0976,0.0265,0.0261,0.0691,0.0854,0.0862,0.0961,0.0962,0.0986,0,0.98
ca-AstroPh,18773,198110,0.0136,0.0281,0.0134,0.0141,0.0142,0.0289,0.0298,0.0298,0.0306,0.0306,4,1.01
ca-CondMat,23134,93497,0.0111,0.0181,0.0109,0.0109,0.0125,0.0199,0.02,0.0199,0.02,0.02,4,1.02
cage14,1505786,27130349,0.8063,2.0961,0.8318,0.945,1.1676,2.232,2.2725,2.36,2.4767,2.5501,0,0.97
cage15,5154860,99199551,3.2552,7.4072,3.1888,3.6257,4.3003,8.0482,8.014,8.3446,8.774,8.9971,4,1.02
ca-HepPh,12009,118521,0.0093,0.0189,0.0085,0.0084,0.0085,0.0183,0.0191,0.0191,0.0199,0.02,8,1.11
caidaRouterLevel,192245,609066,0.0674,0.0902,0.0696,0.0756,0.0879,0.0854,0.0953,0.0986,0.0994,0.0995,0,0.97
cant,62452,2034917,0.0156,0.2206,0.0158,0.0158,0.0216,0.0265,0.0281,0.0306,0.0404,0.0486,0,0.99
case39,40217,526139,0.0069,0.075,0.0077,0.0077,0.0085,0.0223,0.0233,0.0224,0.024,0.0233,0,0.9
case9,14455,75801,0.0036,0.0103,0.0036,0.0044,0.0052,0.0052,0.0068,0.0084,0.0084,0.0101,0,1.0
c-big,345242,1343126,0.1951,0.2051,0.1961,0.2009,0.21,0.1871,0.1879,0.1911,0.1911,0.2051,18,1.04
cbuckle,13682,345098,0.0104,0.0265,0.0101,0.0109,0.0109,0.0101,0.0109,0.0126,0.0125,0.0134,4,1.03
ccc,49153,73728,0.0068,0.0258,0.0069,0.0068,0.0175,0.0265,0.0265,0.0264,0.0265,0.0265,0,1.0
cfd1,70657,949510,0.0146,0.0687,0.0143,0.0167,0.0223,0.0281,0.0322,0.0413,0.0569,0.0732,4,1.02
Chebyshev4,68122,5377761,0.0637,0.6803,0.0634,0.0642,0.065,0.1117,0.1117,0.1338,0.2354,0.3517,4,1.0
circuit_4,80210,307604,0.0485,0.0515,0.0485,0.0494,0.0486,0.0388,0.0388,0.0486,0.0543,0.0543,18,1.25
circuit5M,5558327,59524291,4.449,8.6385,4.8872,5.2121,5.3128,7.0247,6.8193,6.6613,7.9578,7.9886,0,0.91
circuit5M_dc,3523318,19194193,1.0915,2.7073,1.199,1.3227,1.6549,1.6575,1.8219,1.9521,3.3334,3.3229,0,0.91
citationCiteseer,268496,1156647,0.1377,0.1285,0.1386,0.1453,0.1608,0.1502,0.1511,0.1511,0.151,0.1511,128,0.93
cit-Patents,3774769,16518948,2.2074,2.2761,2.2633,2.3794,2.6484,2.722,2.7553,2.7004,2.7615,2.7626,0,0.98
ckt11752_dc_1,49703,333029,0.0306,0.0327,0.0281,0.0314,0.0363,0.0232,0.024,0.0289,0.0306,0.0356,18,1.32
ckt11752_tr_0,49703,333029,0.0278,0.0328,0.0281,0.0314,0.0363,0.0232,0.024,0.0282,0.0306,0.0355,18,1.2
cnr-2000,325558,3216152,0.1527,0.329,0.1518,0.1567,0.1772,0.1952,0.196,0.1969,0.2018,0.2083,4,1.01
CO,221120,3943588,0.0748,0.2565,0.0682,0.0716,0.0838,0.2617,0.2632,0.2648,0.265,0.2698,4,1.1
coAuthorsCiteseer,227321,814134,0.0314,0.1157,0.0331,0.0354,0.0478,0.0642,0.0796,0.1015,0.1092,0.1148,0,0.95
coAuthorsDBLP,299068,977676,0.0583,0.147,0.0608,0.0666,0.0666,0.0904,0.1125,0.1411,0.151,0.1559,0,0.96
cond-mat-2003,31164,120029,0.0066,0.0188,0.0068,0.0076,0.0101,0.0126,0.0158,0.0191,0.0207,0.0215,0,0.97
cond-mat-2005,40422,175693,0.0108,0.0244,0.0108,0.0117,0.015,0.0175,0.0207,0.0248,0.0264,0.0281,0,1.0
conf5_4-8x8-05,49153,1916928,0.0193,0.2833,0.0207,0.0207,0.0231,0.0297,0.0297,0.0297,0.051,0.1396,0,0.93
conf5_4-8x8-10,49153,1916928,0.0195,0.2834,0.0206,0.0207,0.0232,0.0297,0.0298,0.0297,0.051,0.1395,0,0.95
conf5_4-8x8-15,49153,1916928,0.0193,0.2835,0.0207,0.0207,0.0232,0.0297,0.0297,0.0297,0.0511,0.1395,0,0.93
conf5_4-8x8-20,49153,1916928,0.0192,0.2833,0.0207,0.0207,0.0232,0.0298,0.0297,0.0297,0.051,0.1395,0,0.93
conf6_0-8x8-20,49153,1916928,0.0194,0.2836,0.0207,0.0207,0.0232,0.0305,0.0297,0.0297,0.051,0.1396,0,0.94
conf6_0-8x8-30,49153,1916928,0.0194,0.2835,0.021,0.0207,0.0232,0.0298,0.0297,0.0298,0.0511,0.1395,0,0.94
conf6_0-8x8-80,49153,1916928,0.0194,0.2833,0.0207,0.0207,0.0231,0.0297,0.0297,0.0297,0.051,0.1395,0,0.94
consph,83335,3046907,0.0241,0.4098,0.024,0.0256,0.0289,0.0362,0.0371,0.042,0.0461,0.0748,4,1.0
cont-201,80596,239596,0.0097,0.0442,0.0093,0.0092,0.0403,0.0404,0.0404,0.0404,0.0495,0.0493,8,1.05
cont-300,180896,539396,0.0166,0.0957,0.0166,0.0167,0.0846,0.0854,0.0854,0.0854,0.1068,0.1068,0,1.0
coPapersCiteseer,434103,16036720,0.2778,2.0595,0.2867,0.2972,0.3223,0.3735,0.3862,0.4218,0.489,0.5735,0,0.97
coPapersDBLP,540487,15245729,0.3414,1.8257,0.3507,0.372,0.4067,0.4322,0.45,0.4912,0.5336,0.6318,0,0.97
copter1,17223,114143,0.0052,0.0135,0.006,0.006,0.006,0.0108,0.0109,0.0109,0.0159,0.0159,0,0.87
CoupCons3D,416801,22322336,0.1998,2.7141,0.1952,0.2149,0.2325,0.2718,0.2707,0.2864,0.3689,0.6234,4,1.02
crankseg_1,52805,5333507,0.0418,0.771,0.0425,0.0428,0.0439,0.0561,0.0583,0.0627,0.101,0.205,0,0.98
crankseg_2,63839,7106348,0.0537,1.04,0.0535,0.0544,0.0567,0.074,0.0756,0.0805,0.1363,0.2829,4,1.0
crplat2,18011,489478,0.0056,0.0424,0.006,0.006,0.006,0.0101,0.0101,0.0118,0.0117,0.015,0,0.93
crystk02,13966,491274,0.006,0.0663,0.006,0.006,0.006,0.0102,0.0108,0.0109,0.0109,0.0158,0,1.0
crystk03,24697,887937,0.0084,0.1165,0.0084,0.0085,0.0085,0.0126,0.0133,0.0133,0.0159,0.024,0,1.0
crystm02,13966,168435,0.0053,0.016,0.006,0.0068,0.0068,0.0101,0.0126,0.0133,0.0174,0.0191,0,0.88
crystm03,24697,304233,0.007,0.0256,0.0093,0.01,0.0101,0.015,0.0199,0.0208,0.0264,0.0306,0,0.75
ct2010,67579,168176,0.0114,0.0322,0.0117,0.0142,0.0208,0.0289,0.0346,0.0355,0.0359,0.0355,0,0.97
ct20stif,52330,1375396,0.0227,0.1349,0.0223,0.0231,0.0249,0.0283,0.0305,0.0338,0.0387,0.0462,4,1.02
Cube_Coup_dt0,2164761,64685452,0.7253,5.4775,0.6642,0.7298,0.797,1.0696,1.2221,1.3346,1.4966,2.2302,4,1.09
Cube_Coup_dt6,2164761,64685452,0.7261,5.72,0.665,0.7296,0.7957,1.0694,1.225,1.3321,1.4954,2.231,4,1.09
CurlCurl_0,11084,62213,0.0042,0.0095,0.0047,0.0048,0.0055,0.0063,0.0063,0.0064,0.0078,0.0104,0,0.89
